3.38885267E8
2.28308781772E11,2.6402003924E11
2.44058072919E11,2.51445104782E11,2.80085458558E11
2.61445408453E11,2.92069308484E11,2.80432973027E11,3.67109247267E11
3.06566483334E11,2.92947263304E11,2.87201944783E11,3.56569814916E11,3.99548753605E11
3.0980186341E11,2.78596164276E11,3.2814106097E11,3.44381058004E11,4.1921840509E11,4.88395394076E11
2.92533477492E11,3.07821293886E11,3.16709397728E11,3.36354224224E11,3.53268655441E11,4.06595183141E11,4.45542658197E11
3.097565709E11,3.59063204633E11,3.13319590554E11,3.68753476575E11,3.63838478251E11,3.60215537573E11,3.92222467894E11,4.08880650089E11
2.75305526134E11,3.05147500808E11,2.87389103616E11,3.14648434586E11,3.52682881827E11,3.30797240661E11,3.14822247654E11,3.37493130562E11,3.45777686348E11
2.26532226689E11,2.81044434556E11,2.63592634248E11,2.70706737501E11,2.78139544749E11,3.25678129906E11,3.1674984937E11,2.90187622296E11,3.15835050966E11,3.36290471005E11
2.08078333458E11,2.68874107903E11,2.34946167211E11,2.66183564264E11,2.66112335152E11,2.86396522066E11,2.77574644415E11,2.76965574709E11,2.70505329028E11,2.90825557483E11,3.00944496326E11
2.09391211244E11,2.37377247202E11,2.46015115523E11,2.45637196862E11,2.64203611448E11,2.93649018675E11,2.76306779553E11,2.58694650538E11,2.6625705633E11,2.84390169773E11,2.9105005074E11,3.07584238969E11
2.17774779178E11,2.41616068711E11,2.32366770489E11,2.45648723196E11,2.83230295794E11,2.91831039947E11,2.43078543727E11,2.50382144755E11,2.59813363437E11,2.56691623218E11,2.61369605715E11,2.79140986533E11,2.79373542765E11
