(1 - p)*(1 - p0)*(1 - p00)^3,0,0,0,0,0,0,0
(1 - p)*p0*(1 - p00)*(1 - p01)*(1 - p10) + p*(1 - p00)^2*(1 - p1)*(1 - p10),(1 - p)*(1 - p0)*(1 - p00)^2*p00,(1 - p)*(1 - p0)*(1 - p00)*p00*(1 - p01),0,(1 - p)*(1 - p0)*p00*(1 - p01)*(1 - p10),0,0,0
p*(1 - p00)*p1*(1 - p10)*(1 - p11),(1 - p)*p0*p00*(1 - p01)*(1 - p10) + p*(1 - p00)*p00*(1 - p1)*(1 - p10),p*p00*(1 - p01)*(1 - p1)*(1 - p10) + (1 - p)*p0*(1 - p01)^2*p10,(1 - p)*(1 - p0)*(1 - p00)*p00*p01,p*(1 - p01)*(1 - p1)*(1 - p10)*p10 + (1 - p)*p0*p01*(1 - p10)*(1 - p11),(1 - p)*(1 - p0)*p00*(1 - p01)*p10,(1 - p)*(1 - p0)*p00*p01*(1 - p11),0
0,p*p00*p1*(1 - p10)*(1 - p11),p*(1 - p01)*p1*p10*(1 - p11),p*p00*p01*(1 - p1)*(1 - p10) + (1 - p)*p0*(1 - p01)*p01*p10,p*p1*(1 - p10)*(1 - p11)*p11,p*(1 - p01)*(1 - p1)*p10^2 + (1 - p)*p0*p01*p10*(1 - p11),p*p01*(1 - p1)*p10*(1 - p11) + (1 - p)*p0*p01*(1 - p11)*p11,(1 - p)*(1 - p0)*p00*p01*p11
0,0,0,p*p01*p1*p10*(1 - p11),0,p*p1*p10*(1 - p11)*p11,p*p1*(1 - p11)*p11^2,p*p01*(1 - p1)*p10*p11 + (1 - p)*p0*p01*p11^2
0,0,0,0,0,0,0,p*p1*p11^3
