(1 - p)^10,0,0,0,0,0,0,0
7*(1 - p)^9*p,(1 - p)^9*p,(1 - p)^9*p,0,(1 - p)^9*p,0,0,0
21*(1 - p)^8*p^2,7*(1 - p)^8*p^2,7*(1 - p)^8*p^2,(1 - p)^8*p^2,7*(1 - p)^8*p^2,(1 - p)^8*p^2,(1 - p)^8*p^2,0
35*(1 - p)^7*p^3,21*(1 - p)^7*p^3,21*(1 - p)^7*p^3,7*(1 - p)^7*p^3,21*(1 - p)^7*p^3,7*(1 - p)^7*p^3,7*(1 - p)^7*p^3,(1 - p)^7*p^3
35*(1 - p)^6*p^4,35*(1 - p)^6*p^4,35*(1 - p)^6*p^4,21*(1 - p)^6*p^4,35*(1 - p)^6*p^4,21*(1 - p)^6*p^4,21*(1 - p)^6*p^4,7*(1 - p)^6*p^4
21*(1 - p)^5*p^5,35*(1 - p)^5*p^5,35*(1 - p)^5*p^5,35*(1 - p)^5*p^5,35*(1 - p)^5*p^5,35*(1 - p)^5*p^5,35*(1 - p)^5*p^5,21*(1 - p)^5*p^5
7*(1 - p)^4*p^6,21*(1 - p)^4*p^6,21*(1 - p)^4*p^6,35*(1 - p)^4*p^6,21*(1 - p)^4*p^6,35*(1 - p)^4*p^6,35*(1 - p)^4*p^6,35*(1 - p)^4*p^6
(1 - p)^3*p^7,7*(1 - p)^3*p^7,7*(1 - p)^3*p^7,21*(1 - p)^3*p^7,7*(1 - p)^3*p^7,21*(1 - p)^3*p^7,21*(1 - p)^3*p^7,35*(1 - p)^3*p^7
0,(1 - p)^2*p^8,(1 - p)^2*p^8,7*(1 - p)^2*p^8,(1 - p)^2*p^8,7*(1 - p)^2*p^8,7*(1 - p)^2*p^8,21*(1 - p)^2*p^8
0,0,0,(1 - p)*p^9,0,(1 - p)*p^9,(1 - p)*p^9,7*(1 - p)*p^9
0,0,0,0,0,0,0,p^10
