(1 - p)*(1 - p0)^5,0,0,0,0,0,0,0
p*(1 - p0)^4*(1 - p1) + 2*(1 - p)*(1 - p0)^3*p0*(1 - p1),(1 - p)*(1 - p0)^4*p0,(1 - p)*(1 - p0)^3*p0*(1 - p1),0,(1 - p)*(1 - p0)^3*p0*(1 - p1),0,0,0
p*(1 - p0)^2*p0*(1 - p1)^2 + p*(1 - p0)^3*(1 - p1)*p1 + (1 - p)*(1 - p0)^2*p0*(1 - p1)*p1,p*(1 - p0)^3*p0*(1 - p1) + 2*(1 - p)*(1 - p0)^2*p0^2*(1 - p1),p*(1 - p0)^2*p0*(1 - p1)^2 + 2*(1 - p)*(1 - p0)*p0^2*(1 - p1)^2,(1 - p)*(1 - p0)^3*p0*p1,p*(1 - p0)^2*p0*(1 - p1)^2 + (1 - p)*(1 - p0)*p0^2*(1 - p1)^2 + (1 - p)*(1 - p0)^2*p0*(1 - p1)*p1,(1 - p)*(1 - p0)^2*p0^2*(1 - p1),(1 - p)*(1 - p0)^2*p0*(1 - p1)*p1,0
p*(1 - p0)^2*(1 - p1)*p1^2,p*(1 - p0)*p0^2*(1 - p1)^2 + p*(1 - p0)^2*p0*(1 - p1)*p1 + (1 - p)*(1 - p0)*p0^2*(1 - p1)*p1,p*p0^2*(1 - p1)^3 + p*(1 - p0)*p0*(1 - p1)^2*p1 + (1 - p)*p0^2*(1 - p1)^2*p1,p*(1 - p0)^2*p0*(1 - p1)*p1 + 2*(1 - p)*(1 - p0)*p0^2*(1 - p1)*p1,2*p*(1 - p0)*p0*(1 - p1)^2*p1 + (1 - p)*(1 - p0)*p0*(1 - p1)*p1^2,p*(1 - p0)*p0^2*(1 - p1)^2 + (1 - p)*p0^3*(1 - p1)^2 + (1 - p)*(1 - p0)*p0^2*(1 - p1)*p1,p*(1 - p0)*p0*(1 - p1)^2*p1 + (1 - p)*p0^2*(1 - p1)^2*p1 + (1 - p)*(1 - p0)*p0*(1 - p1)*p1^2,(1 - p)*(1 - p0)^2*p0*p1^2
0,p*(1 - p0)*p0*(1 - p1)*p1^2,p*p0*(1 - p1)^2*p1^2,p*p0^2*(1 - p1)^2*p1 + p*(1 - p0)*p0*(1 - p1)*p1^2 + (1 - p)*p0^2*(1 - p1)*p1^2,p*(1 - p0)*(1 - p1)*p1^3,2*p*p0^2*(1 - p1)^2*p1 + (1 - p)*p0^2*(1 - p1)*p1^2,2*p*p0*(1 - p1)^2*p1^2 + (1 - p)*p0*(1 - p1)*p1^3,p*(1 - p0)*p0*(1 - p1)*p1^2 + (1 - p)*p0^2*(1 - p1)*p1^2 + (1 - p)*(1 - p0)*p0*p1^3
0,0,0,p*p0*(1 - p1)*p1^3,0,p*p0*(1 - p1)*p1^3,p*(1 - p1)*p1^4,2*p*p0*(1 - p1)*p1^3 + (1 - p)*p0*p1^4
0,0,0,0,0,0,0,p*p1^5
