DistDisc,crashProb,runtime(ns)
0.5,0.3342436075974929,1.243185927E11
1.0,0.37080207221839817,1.55304492E10
1.1,0.3949312821990381,2.42352736E10
1.2,0.36654953214886804,1.85878786E10
1.3,0.3482377715541166,6.5222134E9
1.4,0.39421941246819087,7.4592107E9
1.5,0.3564347788472473,8.8737264E9
1.6,0.9989175362410321,8.9590578E9
1.65,1.0,6.7867857E9
1.7,0.33247030283465123,3.8726564E9
1.75,0.36719468876183997,5.8550278E9
1.8,0.35959130701905595,7.3041884E9
1.9,1.0,3.4630593E9
2.0,0.9955324840951558,2.9302791E9
