DistDisc,crashProb,runtime(ns)
0.5,0.001556112836572446,6.1234434E9
1.0,0.04525423402920803,1.6538807E9
1.1,0.04545720079572652,1.314590933E9
1.2,0.04445572699052035,1.196294333E9
1.3,0.04426740373223718,7.03932233E8
1.4,0.019603357477741223,6.453125E8
1.5,0.022568587111152495,1.106727566E9
1.6,0.9986288887811515,9.52031966E8
1.65,1.0,5.20061566E8
1.7,0.017148286702832673,5.704747E8
1.75,0.015724187670916167,5.65225333E8
1.8,0.018969704291931934,6.19300766E8
1.9,1.0,3.344344E8
2.0,0.9999955690392871,6.411265E8
