(1 - p000)^4*(1 - pList00) + (1 - p000)*p000*(1 - p001)*(1 - p010)*(1 - pList00) + p000*(1 - p001)*(1 - p010)*(1 - p100)*(1 - pList00) + (1 - p000)*(1 - p001)*(1 - p010)*(1 - p100)*pList00,(1 - p000)^3*p000*(1 - pList00) + p000*(1 - p001)*(1 - p010)*p100*(1 - pList00) + p000*(1 - p001)*(1 - p010)*(1 - p100)*pList00,(1 - p000)^2*p000*(1 - p001)*(1 - pList00) + (1 - p001)^2*(1 - p010)*p100*pList00,0
(1 - p001)*(1 - p010)*p010*(1 - p101)*pList00,(1 - p000)*p000*(1 - p001)*p010*(1 - pList00),p000*(1 - p001)*p010*(1 - p101)*(1 - pList00),(1 - p000)^2*p000*p001*(1 - pList00) + (1 - p001)*p001*(1 - p010)*p100*pList00
p000*p001*(1 - p011)*(1 - p110)*(1 - pList00) + p001*(1 - p011)*(1 - p100)*(1 - p110)*pList00,(1 - p001)*p010^2*(1 - p101)*pList00 + p001*(1 - p011)*p100*(1 - p110)*pList00,(1 - p000)*p000*p001*(1 - p011)*(1 - pList00),(1 - p000)*p000*p001*p011*(1 - pList00) + p000*(1 - p001)*p010*p101*(1 - pList00)
p001*p011*(1 - p110)*(1 - p111)*pList00,p000*p001*(1 - p011)*p110*(1 - pList00),p000*p001*p011*(1 - p111)*(1 - pList00) + (1 - p001)*p010*(1 - p011)*p101*pList00 + p001*(1 - p011)*(1 - p101)*p110*pList00,p000*p001*p011*p111*(1 - pList00) + (1 - p001)*p010*p011*p101*pList00
0,p001*p011*p110*(1 - p111)*pList00,p001*p011*(1 - p111)*p111*pList00,p001*(1 - p011)*p101*p110*pList00 + p001*p011*p111^2*pList00
0,0,0,0
