DistDisc,crashProb,runtime(ns)
0.05,0.2186191572121358,5.698249568E11
0.1,0.2186191572121358,7.42159328E11
0.5,0.36604982591192226,1.189620232E11
1,0.5724434535035311,7.08969159E10
1.5,1.0,4.2881015E9
2,1.0,5.9158137E9
