1.0
1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.8175315747729516
1.0,1.0,1.0,0.9481308645687373,0.849338300795253,0.8460572688248907
1.0,1.0,1.0,0.8231566665783491,0.8225825997684685,0.8319678465014295,0.839272768051906
1.0,1.0,0.9549592154132168,0.821508986311846,0.8181721225998048,0.8252575016123042,0.8361359197824784,0.8316959374100411
1.0,0.9581108747253174,0.843564304559454,0.8519767349144606,0.8420762345344616,0.8382722797431849,0.8418401049841132,0.8344981885097821,0.8296567534328324
0.9583325507106695,0.8546554603202319,0.8415362914471501,0.8490800609282526,0.8454442086761315,0.8420766025007366,0.8446555194910221,0.8381389311132443,0.8336047286423577,0.8341660701379282
0.8833585811278208,0.8611161910351601,0.8972720499315576,0.8958391945760784,0.8841589284565492,0.8728527005919995,0.8695756110603217,0.8636538384904702,0.8589396044600601,0.858918441583409,0.8532563255206451
0.8499471568907637,0.8235300766502497,0.8691855693353103,0.8677797398385404,0.8501871875907321,0.8366461524640103,0.8339140590693352,0.8268427403920157,0.8211129830231837,0.8212464861047243,0.8102629414752907,0.8022651651549831
0.8147403845984358,0.7820302012823537,0.8404683857440798,0.8357227422242972,0.8158207041547353,0.7998174066961116,0.7961032387489815,0.7874893278816567,0.7798847906904025,0.778882595167671,0.7636663661392888,0.7550373105583156,0.7502025847328393
