DistDisc,crashProb,runtime(ns)
0.5,0.3184913019659664,2.88129938E11
1.0,0.3441608452603681,7.9353996133E10
1.1,0.36810096495764616,7.9069326533E10
1.2,0.34036600865430466,6.3973558033E10
1.3,0.3243525109157025,2.9686582433E10
1.4,0.3690798206493529,3.1688302366E10
1.5,0.33168107767404315,4.5628625033E10
1.6,0.999079518755375,3.5499937266E10
1.65,1.0,1.7541095533E10
1.7,0.3098118812274083,1.3831125533E10
1.75,0.3449617786774251,2.4801879233E10
1.8,0.33517344924779224,2.8919336033E10
1.9,1.0,1.5357030933E10
2.0,0.9956266982909037,1.6147338466E10
