(1 - p)^8,0,0,0,0,0,0,0
5*(1 - p)^7*p,(1 - p)^7*p,(1 - p)^7*p,0,(1 - p)^7*p,0,0,0
10*(1 - p)^6*p^2,5*(1 - p)^6*p^2,5*(1 - p)^6*p^2,(1 - p)^6*p^2,5*(1 - p)^6*p^2,(1 - p)^6*p^2,(1 - p)^6*p^2,0
10*(1 - p)^5*p^3,10*(1 - p)^5*p^3,10*(1 - p)^5*p^3,5*(1 - p)^5*p^3,10*(1 - p)^5*p^3,5*(1 - p)^5*p^3,5*(1 - p)^5*p^3,(1 - p)^5*p^3
5*(1 - p)^4*p^4,10*(1 - p)^4*p^4,10*(1 - p)^4*p^4,10*(1 - p)^4*p^4,10*(1 - p)^4*p^4,10*(1 - p)^4*p^4,10*(1 - p)^4*p^4,5*(1 - p)^4*p^4
(1 - p)^3*p^5,5*(1 - p)^3*p^5,5*(1 - p)^3*p^5,10*(1 - p)^3*p^5,5*(1 - p)^3*p^5,10*(1 - p)^3*p^5,10*(1 - p)^3*p^5,10*(1 - p)^3*p^5
0,(1 - p)^2*p^6,(1 - p)^2*p^6,5*(1 - p)^2*p^6,(1 - p)^2*p^6,5*(1 - p)^2*p^6,5*(1 - p)^2*p^6,10*(1 - p)^2*p^6
0,0,0,(1 - p)*p^7,0,(1 - p)*p^7,(1 - p)*p^7,5*(1 - p)*p^7
0,0,0,0,0,0,0,p^8
