(1 - p)*(1 - p0)^4,0
p*(1 - p0)^3*(1 - p1) + 3*(1 - p)*(1 - p0)^2*p0*(1 - p1),(1 - p)*(1 - p0)^3*p0
2*p*(1 - p0)*p0*(1 - p1)^2 + (1 - p)*p0^2*(1 - p1)^2 + p*(1 - p0)^2*(1 - p1)*p1 + 2*(1 - p)*(1 - p0)*p0*(1 - p1)*p1,p*(1 - p0)^2*p0*(1 - p1) + 2*(1 - p)*(1 - p0)*p0^2*(1 - p1) + (1 - p)*(1 - p0)^2*p0*p1
2*p*p0*(1 - p1)^2*p1 + p*(1 - p0)*(1 - p1)*p1^2 + (1 - p)*p0*(1 - p1)*p1^2,p*p0^2*(1 - p1)^2 + 2*p*(1 - p0)*p0*(1 - p1)*p1 + 2*(1 - p)*p0^2*(1 - p1)*p1 + (1 - p)*(1 - p0)*p0*p1^2
p*(1 - p1)*p1^3,3*p*p0*(1 - p1)*p1^2 + (1 - p)*p0*p1^3
0,p*p1^4
