1.0
1.0,1.0
1.0,1.0,1.0
0.9989881070730262,0.9985179977541798,0.987873446790664,0.800929734376069
0.8726588046824002,0.8206932142625041,0.6963637540714682,0.26786478863279717,0.016733935723179896
0.4378518840747019,0.3391214510605641,0.2022696677971309,0.049728633497400546,0.011828826923379925,0.010135450672164217
0.004503076999128336,0.004359537461568094,0.004341185626983019,0.005638476289946003,0.007258427677704207,0.009709735706251285,0.005983093640996918
0.004716600681022953,0.004643030936353607,0.0051119855592141475,0.004876910572194462,0.005199011365883323,0.006940047579488202,0.007164654672054655,0.009228755436830226
0.004447767090158595,0.004712093318276197,0.004823586950882275,0.004871023148572086,0.0047610603622213156,0.004678639180426993,0.005364123943810528,0.009098743474051483,0.005707180744316558
0.005174894994306677,0.0053193194226346515,0.005565015730964337,0.0059906691995635095,0.00607139978955556,0.005364092062331905,0.004671157114135003,0.0062945849790964755,0.0065562691808770815,0.008274361371397516
0.004748673191826479,0.004278726899498376,0.00511065930568018,0.00472290721971537,0.005238261470301987,0.005073108772003664,0.004354229449618489,0.004222509737030546,0.004774249693358239,0.008134979446627612,0.004754805197069686
0.005100203072551463,0.004959956169050899,0.004830849604026985,0.005265887184336892,0.005387969593178965,0.0050020738638155374,0.004834815225314758,0.004433705468144603,0.00409636176038393,0.007119748693730345,0.005847200776694429,0.004754805197069686
0.005120759381862295,0.00520626840803492,0.005341953504675113,0.005322107026526944,0.005187798955175681,0.00558531903537951,0.005214658620045763,0.004350260628938299,0.0037179588307403315,0.005973177091219361,0.005890839148673944,0.005847200776694429,0.004754805197069686
