3.1262228E7
1.7668172149E11,1.99438667633E11
1.85143765266E11,1.89311293372E11,2.24999209753E11
2.01450114717E11,2.17534991175E11,2.13546433558E11,2.40715271652E11
2.42537561468E11,2.22742091863E11,2.17098051331E11,2.39445728684E11,2.63994701216E11
2.9404052E7,5.1621811E7,7.9846849E7,2.49308130289E11,2.74090881917E11,2.89990950051E11
1.6903857E7,3.600606E7,4.4860413E7,2.03452691382E11,1.86402692477E11,2.16890637643E11,2.3893714471E11
1.6340057E7,2.6616027E7,1.64505235339E11,1.99475350165E11,2.15023997076E11,2.30273257209E11,2.48288445178E11,2.5874965763E11
2.7666518E7,1.62413536316E11,2.06538983192E11,2.18271664249E11,2.55340562811E11,2.66544760728E11,2.5503207289E11,2.52543607015E11,2.71262005102E11
1.78469418821E11,2.15339206028E11,2.26562648017E11,2.40380964533E11,2.40989338017E11,2.73138350195E11,2.79021041649E11,2.5389596652E11,2.62405781716E11,2.76169974982E11
1.72295473205E11,2.02856806934E11,1.88324917236E11,2.0264238081E11,2.13459962336E11,2.22171432993E11,2.19628587845E11,2.25738965532E11,2.21985781026E11,2.22504111346E11,2.36815935536E11
1.63913180251E11,1.8532713495E11,1.98975866888E11,1.8929775432E11,2.08347310903E11,2.29463301944E11,2.14567345695E11,2.03681852177E11,2.09086304794E11,2.22764223921E11,2.40229510326E11,2.34175951119E11
1.78444403955E11,1.84530690788E11,1.7614643236E11,1.90486526668E11,2.17326439546E11,2.34891944814E11,2.00209941468E11,2.08279706276E11,2.12306111926E11,2.06519995038E11,2.09538515035E11,2.14514790275E11,2.20440632021E11
