(1 - p)^8 + 3*(1 - p)^7*p,(1 - p)^7*p + 3*(1 - p)^6*p^2,(1 - p)^7*p + 3*(1 - p)^6*p^2,(1 - p)^6*p^2 + 2*(1 - p)^5*p^3,(1 - p)^7*p + 3*(1 - p)^6*p^2,(1 - p)^6*p^2 + 2*(1 - p)^5*p^3,(1 - p)^6*p^2 + (1 - p)^5*p^3,0,(1 - p)^7*p + 3*(1 - p)^6*p^2,(1 - p)^6*p^2 + 2*(1 - p)^5*p^3,(1 - p)^6*p^2 + (1 - p)^5*p^3,0,(1 - p)^6*p^2,0,0,0
(1 - p)^7*p + 2*(1 - p)^6*p^2,(1 - p)^6*p^2 + 2*(1 - p)^5*p^3,(1 - p)^6*p^2 + (1 - p)^5*p^3,2*(1 - p)^5*p^3,(1 - p)^6*p^2,2*(1 - p)^5*p^3,2*(1 - p)^5*p^3,(1 - p)^5*p^3 + (1 - p)^4*p^4,(1 - p)^6*p^2,2*(1 - p)^5*p^3,2*(1 - p)^5*p^3,(1 - p)^5*p^3 + (1 - p)^4*p^4,2*(1 - p)^5*p^3,(1 - p)^5*p^3,0,0
2*(1 - p)^6*p^2,2*(1 - p)^5*p^3,3*(1 - p)^5*p^3,2*(1 - p)^4*p^4,2*(1 - p)^5*p^3,0,(1 - p)^5*p^3,3*(1 - p)^4*p^4,0,0,(1 - p)^5*p^3,3*(1 - p)^4*p^4,(1 - p)^5*p^3,2*(1 - p)^4*p^4,(1 - p)^5*p^3,(1 - p)^4*p^4
(1 - p)^6*p^2,(1 - p)^5*p^3,(1 - p)^5*p^3,3*(1 - p)^4*p^4,3*(1 - p)^5*p^3,4*(1 - p)^4*p^4,0,0,2*(1 - p)^5*p^3,0,0,0,(1 - p)^5*p^3,2*(1 - p)^4*p^4,4*(1 - p)^4*p^4,4*(1 - p)^3*p^5
(1 - p)^6*p^2 + 2*(1 - p)^5*p^3,(1 - p)^5*p^3 + 2*(1 - p)^4*p^4,(1 - p)^5*p^3,(1 - p)^4*p^4,(1 - p)^5*p^3,2*(1 - p)^4*p^4,6*(1 - p)^4*p^4,3*(1 - p)^3*p^5,3*(1 - p)^5*p^3,4*(1 - p)^4*p^4,0,0,0,0,0,0
2*(1 - p)^5*p^3,2*(1 - p)^4*p^4,4*(1 - p)^4*p^4,(1 - p)^3*p^5,(1 - p)^4*p^4,0,0,3*(1 - p)^3*p^5,(1 - p)^5*p^3 + (1 - p)^4*p^4,2*(1 - p)^4*p^4,6*(1 - p)^4*p^4,3*(1 - p)^3*p^5,3*(1 - p)^4*p^4,2*(1 - p)^3*p^5,2*(1 - p)^3*p^5,2*(1 - p)^2*p^6
(1 - p)^4*p^4,(1 - p)^3*p^5,0,3*(1 - p)^3*p^5,3*(1 - p)^4*p^4,2*(1 - p)^3*p^5,(1 - p)^3*p^5,(1 - p)^2*p^6,3*(1 - p)^4*p^4,2*(1 - p)^3*p^5,(1 - p)^3*p^5,3*(1 - p)^3*p^5 + (1 - p)^2*p^6,3*(1 - p)^4*p^4 + (1 - p)^3*p^5,2*(1 - p)^3*p^5 + (1 - p)^2*p^6,2*(1 - p)^3*p^5 + (1 - p)^2*p^6,2*(1 - p)^2*p^6 + (1 - p)*p^7
0,0,(1 - p)^3*p^5,0,(1 - p)^3*p^5,2*(1 - p)^3*p^5,2*(1 - p)^3*p^5,(1 - p)^2*p^6,(1 - p)^3*p^5,2*(1 - p)^3*p^5,2*(1 - p)^3*p^5,(1 - p)^2*p^6,2*(1 - p)^3*p^5,2*(1 - p)^3*p^5 + (1 - p)^2*p^6,(1 - p)^3*p^5 + (1 - p)^2*p^6,(1 - p)^2*p^6 + (1 - p)*p^7
0,0,0,(1 - p)^2*p^6,0,(1 - p)^2*p^6,(1 - p)^3*p^5 + (1 - p)^2*p^6,2*(1 - p)^2*p^6 + (1 - p)*p^7,0,(1 - p)^2*p^6,(1 - p)^3*p^5 + (1 - p)^2*p^6,2*(1 - p)^2*p^6 + (1 - p)*p^7,(1 - p)^3*p^5 + (1 - p)^2*p^6,2*(1 - p)^2*p^6 + (1 - p)*p^7,(1 - p)^3*p^5 + 2*(1 - p)^2*p^6 + (1 - p)*p^7,(1 - p)^2*p^6 + 2*(1 - p)*p^7 + p^8
