2.14649735E8
1.51832195583E11,1.5049904909E11
1.55593325051E11,1.52357129014E11,1.62213443205E11
1.7625398597E11,1.79666879177E11,1.97425106353E11,1.96143173975E11
1.70269934985E11,1.80350085819E11,1.83261851098E11,1.98781753929E11,2.08130313044E11
1.81108297482E11,1.87851859453E11,1.87330171531E11,2.05745527232E11,2.18531437666E11,2.30438695676E11
1.8666874231E11,1.90490050072E11,1.97660444652E11,2.01632401343E11,2.12811153059E11,2.20728797644E11,2.08230218627E11
1.93425703949E11,1.96861634176E11,1.94663990442E11,2.03326521245E11,2.09673398453E11,2.03565067202E11,2.11283962689E11,2.08474370512E11
1.77170541064E11,1.73064848106E11,1.74987826168E11,1.76135146059E11,1.84390536283E11,1.92012341819E11,1.7955431955E11,1.92057051486E11,1.79560687851E11
1.68446654631E11,1.70428206928E11,1.710273351E11,1.76710004641E11,1.8061531306E11,1.73673661985E11,1.75556506612E11,1.78302789334E11,1.68357796246E11,1.69892915964E11
1.56352206599E11,1.61205037272E11,1.65841776413E11,1.7660018186E11,1.76930344653E11,1.72404385604E11,1.65432349356E11,1.61050076312E11,1.6187822128E11,1.60087144985E11,1.54296821135E11
1.55210474304E11,1.57303150263E11,1.60411862273E11,1.55973368075E11,1.54519656604E11,1.62295476964E11,1.54912414367E11,1.80933047657E11,2.68608975821E11,2.57776705313E11,2.63292097981E11,2.64561700819E11
2.61438921472E11,2.50791142197E11,2.68520082568E11,2.33723653691E11,2.2875492079E11,2.3902700978E11,2.35747479444E11,2.3196780209E11,2.37727172098E11,2.39906026266E11,2.18210235274E11,2.27256371657E11,2.29601020308E11
