(1 - p000)^2*(1 - p100)*(1 - pList10) + (1 - p001)*(1 - p010)*p100*(1 - pList10),(1 - p000)*p000*(1 - p100)*(1 - pList10),p000*(1 - p001)*(1 - p100)*(1 - pList10),0
(1 - p010)*(1 - p100)*(1 - p101)*pList10,(1 - p001)*p010*p100*(1 - pList10) + (1 - p010)*p100*(1 - p101)*pList10,0,p000*p001*(1 - p100)*(1 - pList10)
0,0,p001*(1 - p011)*p100*(1 - pList10) + p010*(1 - p101)^2*pList10,p001*p011*p100*(1 - pList10)
(1 - p011)*p101*(1 - p110)*pList10,0,0,p010*(1 - p101)*p101*pList10
0,(1 - p011)*p101*p110*pList10,p011*p101*(1 - p111)*pList10,p011*p101*p111*pList10
